id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,event-time skew,96,18,32,50,324,ship,baseline,monotonic-signal,raise-signal
m002,g002,late input,65,7,42,87,186,watch,edge,drag-penalty,drop-slack
m003,g003,window pressure,102,20,13,63,439,ship,recovery,confidence-floor,raise-drag
m004,g004,sink lag,36,24,11,46,170,watch,negative,lane-boundary,lower-confidence
m005,g005,event-time skew,103,28,36,62,358,ship,baseline,monotonic-signal,raise-signal
m006,g006,late input,83,22,8,68,390,ship,edge,drag-penalty,drop-slack
m007,g007,window pressure,37,38,23,32,126,watch,recovery,confidence-floor,raise-drag
m008,g008,sink lag,105,8,43,92,348,ship,negative,lane-boundary,lower-confidence
m009,g009,event-time skew,64,30,37,103,241,ship,baseline,monotonic-signal,raise-signal
m010,g010,late input,77,0,35,63,231,ship,edge,drag-penalty,drop-slack
m011,g011,window pressure,48,36,43,91,147,watch,recovery,confidence-floor,raise-drag
m012,g012,sink lag,37,52,38,10,58,hold,negative,lane-boundary,lower-confidence
m013,g013,event-time skew,44,62,5,80,298,ship,baseline,monotonic-signal,raise-signal
m014,g014,late input,81,24,25,27,275,ship,edge,drag-penalty,drop-slack
m015,g015,window pressure,108,59,23,91,490,ship,recovery,confidence-floor,raise-drag
m016,g016,sink lag,81,73,34,28,289,ship,negative,lane-boundary,lower-confidence
m017,g017,event-time skew,80,48,44,64,256,ship,baseline,monotonic-signal,raise-signal
m018,g018,late input,113,27,9,37,480,ship,edge,drag-penalty,drop-slack
m019,g019,window pressure,94,35,42,71,314,ship,recovery,confidence-floor,raise-drag
m020,g020,sink lag,44,71,7,36,255,ship,negative,lane-boundary,lower-confidence
m021,g021,event-time skew,119,22,37,86,436,ship,baseline,monotonic-signal,raise-signal
m022,g022,late input,103,59,11,62,489,ship,edge,drag-penalty,drop-slack
m023,g023,window pressure,59,61,49,58,159,watch,recovery,confidence-floor,raise-drag
m024,g024,sink lag,40,24,17,48,164,watch,negative,lane-boundary,lower-confidence
m025,g025,event-time skew,43,37,27,67,168,watch,baseline,monotonic-signal,raise-signal
m026,g026,late input,35,6,33,31,45,hold,edge,drag-penalty,drop-slack
m027,g027,window pressure,83,10,45,104,266,ship,recovery,confidence-floor,raise-drag
m028,g028,sink lag,110,44,21,89,489,ship,negative,lane-boundary,lower-confidence
m029,g029,event-time skew,48,28,35,62,142,watch,baseline,monotonic-signal,raise-signal
m030,g030,late input,51,12,43,90,134,watch,edge,drag-penalty,drop-slack
m031,g031,window pressure,61,23,35,22,149,watch,recovery,confidence-floor,raise-drag
m032,g032,sink lag,40,25,22,66,163,watch,negative,lane-boundary,lower-confidence
m033,g033,event-time skew,115,29,20,26,435,ship,baseline,monotonic-signal,raise-signal
m034,g034,late input,55,22,21,90,248,ship,edge,drag-penalty,drop-slack
m035,g035,window pressure,77,38,30,40,266,ship,recovery,confidence-floor,raise-drag
m036,g036,sink lag,47,43,32,50,153,watch,negative,lane-boundary,lower-confidence
m037,g037,event-time skew,45,13,10,36,189,watch,baseline,monotonic-signal,raise-signal
m038,g038,late input,78,24,43,70,234,ship,edge,drag-penalty,drop-slack
m039,g039,window pressure,58,14,26,48,190,watch,recovery,confidence-floor,raise-drag
m040,g040,sink lag,96,41,29,72,381,ship,negative,lane-boundary,lower-confidence
m041,g041,event-time skew,39,57,36,61,130,watch,baseline,monotonic-signal,raise-signal
m042,g042,late input,89,56,20,57,389,ship,edge,drag-penalty,drop-slack
m043,g043,window pressure,78,40,41,60,248,ship,recovery,confidence-floor,raise-drag
m044,g044,sink lag,76,64,22,53,333,ship,negative,lane-boundary,lower-confidence
m045,g045,event-time skew,43,8,38,30,58,hold,baseline,monotonic-signal,raise-signal
m046,g046,late input,61,42,27,103,281,ship,edge,drag-penalty,drop-slack
m047,g047,window pressure,34,43,51,101,76,hold,recovery,confidence-floor,raise-drag
m048,g048,sink lag,112,40,12,48,488,ship,negative,lane-boundary,lower-confidence
m049,g049,event-time skew,75,76,18,89,393,ship,baseline,monotonic-signal,raise-signal
m050,g050,late input,47,16,23,21,133,watch,edge,drag-penalty,drop-slack
m051,g051,window pressure,85,75,13,78,441,ship,recovery,confidence-floor,raise-drag
m052,g052,sink lag,63,66,20,12,250,ship,negative,lane-boundary,lower-confidence
